,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,Ticker,USDMXN Curncy,ASURB MM Equity,BIMBOA MM Equity,CN1 Comdty,CT350188 Curncy,DU1 Comdty,ED749713@BVAL Corp,EMRUEMRU Index,EURMXN3Y Curncy,FB1 Comdty,FEMSAUBD MM Equity,GAPB MM Equity,GCAN10YR Index,GCAN2YR Index,GCAN5YR Index,GECU10YR Index,GECU2YR Index,GECU5YR Index,GETB1 Index,GISR10YR Index,GNGT3M Index,GNOR10YR Index,GNOR5YR Index,GNZGB10 Index,GNZGB5 Index,GS 15 Index,GS 20 Index,GS 30 Index,GSGB10YR Index,GSGB2YR Index,GSGB5YR Index,GSWISS05 Index,GSWISS10 Index,GUKG10 Index,GVSK10YR Index,GVSK2YR Index,GVSK3MON Index,GVTW5YR Index,INDI25 Index,ISDR1 CMPN Curncy,ISDRC CMPN Curncy,LIVEPOLC MM Equity,M6US0CS Index,MXIRPESO Index,MXMB Index,MXUDI Index,NKSW2 CMPN Curncy,OE1 Comdty,RX1 Comdty,S0349FS 5Y5Y BLC Curncy,SK1 COMP Comdty,SKSW2 CMPN Curncy,SL1 COMP Comdty,ST1 COMP Comdty,TT335439@BVAL Corp,US1 COMB Comdty,USDMXNH6M Curncy,USDRUB CMPN Curncy,USDTRY CMPN Curncy,USFS0210 Curncy,USFS0212 Curncy,USFS0215 Curncy,USFS0220 Curncy,USFS0225 Curncy,USFS0230 Curncy,USFS0235 Curncy,USFS0240 Curncy,USFS0245 Curncy,USFS0250 Curncy,USFS027 Curncy,USFS028 Curncy,USFS029 Curncy,USGG30YR Index,USGGBE20 Index,USSA15 ICPL Curncy,USSA20 ICPL Curncy,USSA25 ICPL Curncy,USSA30 ICPL Curncy,USSP15 CMPN Curncy,USSP20 CMPN Curncy,USSP25 CMPN Curncy,USSW15 CMPN Curncy,USSW20 CMPN Curncy,USSW25 CMPN Curncy,USSW30 CMPN Curncy,XQ1 Comdty
1,Date,USDMXN Curncy,ASURB MM Equity,BIMBOA MM Equity,CN1 Comdty,CT350188 Curncy,DU1 Comdty,ED749713@BVAL Corp,EMRUEMRU Index,EURMXN3Y Curncy,FB1 Comdty,FEMSAUBD MM Equity,GAPB MM Equity,GCAN10YR Index,GCAN2YR Index,GCAN5YR Index,GECU10YR Index,GECU2YR Index,GECU5YR Index,GETB1 Index,GISR10YR Index,GNGT3M Index,GNOR10YR Index,GNOR5YR Index,GNZGB10 Index,GNZGB5 Index,GS 15 Index,GS 20 Index,GS 30 Index,GSGB10YR Index,GSGB2YR Index,GSGB5YR Index,GSWISS05 Index,GSWISS10 Index,GUKG10 Index,GVSK10YR Index,GVSK2YR Index,GVSK3MON Index,GVTW5YR Index,INDI25 Index,ISDR1 CMPN Curncy,ISDRC CMPN Curncy,LIVEPOLC MM Equity,M6US0CS Index,MXIRPESO Index,MXMB Index,MXUDI Index,NKSW2 CMPN Curncy,OE1 Comdty,RX1 Comdty,S0349FS 5Y5Y BLC Curncy,SK1 COMP Comdty,SKSW2 CMPN Curncy,SL1 COMP Comdty,ST1 COMP Comdty,TT335439@BVAL Corp,US1 COMB Comdty,USDMXNH6M Curncy,USDRUB CMPN Curncy,USDTRY CMPN Curncy,USFS0210 Curncy,USFS0212 Curncy,USFS0215 Curncy,USFS0220 Curncy,USFS0225 Curncy,USFS0230 Curncy,USFS0235 Curncy,USFS0240 Curncy,USFS0245 Curncy,USFS0250 Curncy,USFS027 Curncy,USFS028 Curncy,USFS029 Curncy,USGG30YR Index,USGGBE20 Index,USSA15 ICPL Curncy,USSA20 ICPL Curncy,USSA25 ICPL Curncy,USSA30 ICPL Curncy,USSP15 CMPN Curncy,USSP20 CMPN Curncy,USSP25 CMPN Curncy,USSW15 CMPN Curncy,USSW20 CMPN Curncy,USSW25 CMPN Curncy,USSW30 CMPN Curncy,XQ1 Comdty
2,2016-05-27 00:00:00,18.4751,289.95,55.4,141.28,424.14,111.85,118.813,66.0342,35645.2148,161.89,169.19,185.3,1.351,0.645,0.777,0.138,-0.515,-0.382,-0.592,1.82,0.56,1.407,0.92,2.566,2.128,2.298,2.526,2.794,0.524,-0.59,-0.163,-0.727,-0.298,1.436,1.775,1.487,1.48,0.577,73710.46,0.102,0.09,203.75,260.57,3266024,1220.204,5.417216,1.02,131.43,164,1.2343,-0.164,-0.3265,-0.425,0.771,120.369,164.3125,13.202,65.82,2.9601,1.9701,2.0757,2.1355,2.2299,2.2649,2.2798,2.2836,2.2765,2.2593,2.228,1.829,1.8854,1.9467,2.6464,1.5214,1.911,2.039,2.102,2.138,-10.63,-18,-31.63,1.943,2.074,2.133,2.1738,124.13
3,2016-05-26 00:00:00,18.4544,284.68,55.29,141.83,427.999,111.845,118.75,65.282,35316.8828,161.8,168.25,183.56,1.329,0.616,0.756,0.146,-0.512,-0.377,-0.607,1.82,0.55,1.426,0.934,2.62,2.171,2.297,2.525,2.79,0.529,-0.6,-0.149,-0.731,-0.302,1.415,1.79,1.487,1.48,0.5809,73003.78,0.102,0.09,202.75,260.38,3259660,1213.797,5.418858,1.035,131.44,164.03,1.2378,-0.153,-0.3265,-0.415,0.782,120.482,164.5625,13.19,65.8443,2.935,1.9485,2.0559,2.1115,2.2213,2.2582,2.2724,2.2728,2.266,2.2528,2.2236,1.816,1.8741,1.9303,2.6464,1.5214,1.914,2.042,2.104,2.139,-10.46,-17.65,-31.43,1.928,2.0575,2.125,2.1598,124.3
4,2016-05-25 00:00:00,18.4852,281.4,56.33,140.98,5392.863,111.825,118.438,65.9242,35680.2227,161.61,166.71,182.83,1.386,0.639,0.792,0.152,-0.504,-0.365,-0.611,1.84,0.54,1.426,0.933,2.687,2.248,2.326,2.546,2.81,0.536,-0.593,-0.158,-0.724,-0.281,1.456,1.787,1.482,1.48,0.5808,72866.83,0.101,0.09,202.31,261.48,3259660,1210.353,5.420501,1.02,131.36,163.9,1.2395,-0.157,-0.3165,-0.418,0.788,119.879,163.59375,13.181,65.4138,2.9373,1.974,2.0605,2.1335,2.219,2.2515,2.2665,2.2905,2.2837,2.2705,2.2412,1.8265,1.9066,1.9599,2.6409,1.5156,1.922,2.047,2.107,2.14,-11.11,-18.4,-32.03,1.955,2.0825,2.1453,2.1785,124.11
5,2016-05-24 00:00:00,18.487,282.81,56.06,141.16,5392.863,111.815,118.5,66.8658,36154.1172,161.58,165,181.61,1.366,0.629,0.772,0.177,-0.5,-0.35,-0.596,1.81,0.53,1.431,0.928,2.695,2.246,2.313,2.524,2.783,0.543,-0.593,-0.173,-0.71,-0.27,1.472,1.767,1.47,1.474,0.5761,72098.08,0.102,0.09,198.46,257.64,3259660,1211.099,5.422145,1.01,131.27,163.51,1.2304,-0.176,-0.3195,-0.433,0.789,119.623,164.0625,13.128,66.2552,2.946,1.976,2.051,2.1305,2.204,2.233,2.248,2.2708,2.2644,2.2522,2.2235,1.824,1.9022,1.9536,2.6634,1.5251,1.942,2.065,2.126,2.158,-11.18,-18.43,-31.94,1.9469,2.0703,2.1305,2.1615,124.24
6,2016-05-23 00:00:00,18.5161,282.02,55.27,141.31,5392.863,111.815,120.188,67.0104,36684.3047,161.55,162.05,182.75,1.351,0.624,0.757,0.176,-0.502,-0.35,-0.579,1.79,0.52,1.43,0.927,2.709,2.262,2.287,2.497,2.765,0.537,-0.598,-0.187,-0.717,-0.274,1.449,1.797,1.482,1.475,0.5817,71493.41,0.102,0.09,199.21,256.42,3259660,1213.379,5.423789,1.01,131.25,163.42,1.2222,-0.191,-0.3345,-0.437,0.784,120.09,164.46875,13.113,67.2158,2.9953,1.9525,2.0488,2.109,2.2065,2.2402,2.2526,2.2533,2.2467,2.2335,2.2045,1.8189,1.8758,1.9292,2.644,1.5129,1.907,2.031,2.092,2.125,-10.81,-18.14,-31.55,1.9245,2.0503,2.112,2.1435,124.27
7,2016-05-20 00:00:00,18.3465,284.96,55.18,141.31,5392.863,111.815,119.188,66.4638,35675.6914,161.58,161.35,184.51,1.348,0.624,0.754,0.165,-0.499,-0.353,-0.581,1.76,0.52,1.419,0.917,2.683,2.223,2.296,2.507,2.77,0.542,-0.593,-0.176,-0.722,-0.271,1.452,1.8,1.482,1.475,0.5868,71352.86,0.1,0.09,198.4,257.05,3259660,1217.166,5.428723,1.015,131.26,163.56,1.2213,-0.176,-0.3195,-0.427,0.794,120.123,164.25,13.106,66.9325,2.9753,1.957,2.034,2.1105,2.2095,2.217,2.229,2.2536,2.2468,2.2338,2.205,1.8035,1.8849,1.9387,2.6286,1.5075,1.912,2.034,2.093,2.123,-10.94,-18.34,-32.18,1.9265,2.0505,2.111,2.1427,124.27
8,2016-05-19 00:00:00,18.4243,284.32,56.95,141.33,5392.863,111.81,118.188,66.4117,35745.2969,161.69,161.84,183.18,1.348,0.623,0.761,0.17,-0.498,-0.354,-0.578,1.76,0.52,1.406,0.903,2.71,2.239,2.306,2.517,2.783,0.532,-0.601,-0.183,-0.738,-0.29,1.439,1.827,1.5,1.479,0.5828,71325.38,0.102,0.09,199.34,255.96,3225499,1218.501,5.430369,0.985,131.29,163.61,1.2183,-0.185,-0.3265,-0.437,0.78,121.031,164.34375,13.103,66.7529,2.9882,1.9625,2.043,2.1155,2.193,2.2225,2.2335,2.261,2.2542,2.2409,2.2119,1.816,1.8963,1.948,2.6286,1.5075,1.913,2.036,2.096,2.128,-11.05,-18.55,-32.35,1.9358,2.0593,2.1188,2.1508,124.24
9,2016-05-18 00:00:00,18.4498,286.3,56.85,140.96,5392.863,111.825,118.25,65.3035,35316.7969,161.7,163.58,186.7,1.367,0.638,0.783,0.168,-0.504,-0.361,-0.581,1.76,0.52,1.412,0.915,2.639,2.173,2.322,2.54,2.801,0.525,-0.602,-0.185,-0.744,-0.298,1.438,1.797,1.482,1.474,0.5715,71319.06,0.094,0.09,202.19,255.43,3225499,1215.037,5.432016,1.015,131.32,163.63,1.1928,-0.179,-0.3145,-0.436,0.771,120.727,163.25,13.098,66.2666,2.9878,1.97,2.0485,2.129,2.2055,2.2385,2.2525,2.2779,2.2704,2.2558,2.2258,1.8135,1.8938,1.9489,2.6417,1.5216,1.902,2.034,2.1,2.136,-11.53,-19.09,-32.95,1.94,2.0673,2.129,2.164,124.18
